method_name                                        ,project_name  ,access_type,size_in_sloc,if_block_count,for_block_count,getter_or_setter
get|short|class|name                               ,apache_commons,protected  ,9           ,1             ,0              ,getter
append|detail                                      ,apache_commons,protected  ,4           ,1             ,0              ,other
equals                                             ,apache_commons,public     ,27          ,5             ,0              ,other
hash|code                                          ,apache_commons,public     ,16          ,1             ,0              ,other
to|string                                          ,apache_commons,public     ,14          ,1             ,0              ,other
is|valid|annotation|member|type                    ,apache_commons,public     ,7           ,2             ,0              ,other
hash|member                                        ,apache_commons,private    ,8           ,2             ,0              ,other
member|equals                                      ,apache_commons,private    ,13          ,4             ,0              ,other
array|member|equals                                ,apache_commons,private    ,28          ,9             ,0              ,other
annotation|array|member|equals                     ,apache_commons,private    ,9           ,2             ,1              ,other
array|member|hash                                  ,apache_commons,private    ,25          ,8             ,0              ,other
init                                               ,apache_commons,private    ,6           ,0             ,0              ,other
init|x|bit                                         ,apache_commons,private    ,2           ,0             ,0              ,other
init|x|bit                                         ,apache_commons,private    ,2           ,0             ,0              ,other
init|ia|bit                                        ,apache_commons,private    ,2           ,0             ,0              ,other
init|ia|bit                                        ,apache_commons,private    ,2           ,0             ,0              ,other
init|ppc|bit                                       ,apache_commons,private    ,2           ,0             ,0              ,other
init|ppc|bit                                       ,apache_commons,private    ,2           ,0             ,0              ,other
add|processor                                      ,apache_commons,private    ,4           ,1             ,0              ,other
add|processors                                     ,apache_commons,private    ,3           ,0             ,0              ,other
get|processor                                      ,apache_commons,public     ,1           ,0             ,0              ,getter
get|processor                                      ,apache_commons,public     ,1           ,0             ,0              ,getter
to|string                                          ,apache_commons,public     ,1           ,0             ,0              ,other
to|string                                          ,apache_commons,public     ,4           ,1             ,0              ,other
hash|code                                          ,apache_commons,public     ,1           ,0             ,0              ,other
is|equals                                          ,apache_commons,public     ,1           ,0             ,0              ,other
to|map                                             ,apache_commons,public     ,20          ,4             ,1              ,other
to|array                                           ,apache_commons,public     ,1           ,0             ,0              ,other
clone                                              ,apache_commons,public     ,4           ,1             ,0              ,other
clone                                              ,apache_commons,public     ,4           ,1             ,0              ,other
clone                                              ,apache_commons,public     ,4           ,1             ,0              ,other
clone                                              ,apache_commons,public     ,4           ,1             ,0              ,other
clone                                              ,apache_commons,public     ,4           ,1             ,0              ,other
clone                                              ,apache_commons,public     ,4           ,1             ,0              ,other
clone                                              ,apache_commons,public     ,4           ,1             ,0              ,other
clone                                              ,apache_commons,public     ,4           ,1             ,0              ,other
clone                                              ,apache_commons,public     ,4           ,1             ,0              ,other
null|to|empty                                      ,apache_commons,public     ,7           ,2             ,0              ,other
null|to|empty                                      ,apache_commons,public     ,4           ,1             ,0              ,other
null|to|empty                                      ,apache_commons,public     ,4           ,1             ,0              ,other
null|to|empty                                      ,apache_commons,public     ,4           ,1             ,0              ,other
null|to|empty                                      ,apache_commons,public     ,4           ,1             ,0              ,other
null|to|empty                                      ,apache_commons,public     ,4           ,1             ,0              ,other
null|to|empty                                      ,apache_commons,public     ,4           ,1             ,0              ,other
null|to|empty                                      ,apache_commons,public     ,4           ,1             ,0              ,other
null|to|empty                                      ,apache_commons,public     ,4           ,1             ,0              ,other
null|to|empty                                      ,apache_commons,public     ,4           ,1             ,0              ,other
null|to|empty                                      ,apache_commons,public     ,4           ,1             ,0              ,other
null|to|empty                                      ,apache_commons,public     ,4           ,1             ,0              ,other
null|to|empty                                      ,apache_commons,public     ,4           ,1             ,0              ,other
null|to|empty                                      ,apache_commons,public     ,4           ,1             ,0              ,other
null|to|empty                                      ,apache_commons,public     ,4           ,1             ,0              ,other
null|to|empty                                      ,apache_commons,public     ,4           ,1             ,0              ,other
null|to|empty                                      ,apache_commons,public     ,4           ,1             ,0              ,other
null|to|empty                                      ,apache_commons,public     ,4           ,1             ,0              ,other
null|to|empty                                      ,apache_commons,public     ,4           ,1             ,0              ,other
null|to|empty                                      ,apache_commons,public     ,4           ,1             ,0              ,other
subarray                                           ,apache_commons,public     ,18          ,4             ,0              ,other
subarray                                           ,apache_commons,public     ,16          ,4             ,0              ,other
subarray                                           ,apache_commons,public     ,16          ,4             ,0              ,other
subarray                                           ,apache_commons,public     ,16          ,4             ,0              ,other
subarray                                           ,apache_commons,public     ,16          ,4             ,0              ,other
subarray                                           ,apache_commons,public     ,16          ,4             ,0              ,other
subarray                                           ,apache_commons,public     ,16          ,4             ,0              ,other
subarray                                           ,apache_commons,public     ,16          ,4             ,0              ,other
subarray                                           ,apache_commons,public     ,16          ,4             ,0              ,other
is|same|length                                     ,apache_commons,public     ,1           ,0             ,0              ,other
is|same|length                                     ,apache_commons,public     ,1           ,0             ,0              ,other
is|same|length                                     ,apache_commons,public     ,1           ,0             ,0              ,other
is|same|length                                     ,apache_commons,public     ,1           ,0             ,0              ,other
is|same|length                                     ,apache_commons,public     ,1           ,0             ,0              ,other
is|same|length                                     ,apache_commons,public     ,1           ,0             ,0              ,other
is|same|length                                     ,apache_commons,public     ,1           ,0             ,0              ,other
is|same|length                                     ,apache_commons,public     ,1           ,0             ,0              ,other
is|same|length                                     ,apache_commons,public     ,1           ,0             ,0              ,other
get|length                                         ,apache_commons,public     ,4           ,1             ,0              ,getter
is|same|type                                       ,apache_commons,public     ,4           ,1             ,0              ,other
reverse                                            ,apache_commons,public     ,4           ,1             ,0              ,other
reverse                                            ,apache_commons,public     ,4           ,1             ,0              ,other
reverse                                            ,apache_commons,public     ,4           ,1             ,0              ,other
reverse                                            ,apache_commons,public     ,4           ,1             ,0              ,other
reverse                                            ,apache_commons,public     ,4           ,1             ,0              ,other
reverse                                            ,apache_commons,public     ,4           ,1             ,0              ,other
reverse                                            ,apache_commons,public     ,4           ,1             ,0              ,other
reverse                                            ,apache_commons,public     ,4           ,1             ,0              ,other
reverse                                            ,apache_commons,public     ,4           ,1             ,0              ,other
reverse                                            ,apache_commons,public     ,13          ,1             ,0              ,other
reverse                                            ,apache_commons,public     ,13          ,1             ,0              ,other
reverse                                            ,apache_commons,public     ,13          ,1             ,0              ,other
reverse                                            ,apache_commons,public     ,13          ,1             ,0              ,other
reverse                                            ,apache_commons,public     ,13          ,1             ,0              ,other
reverse                                            ,apache_commons,public     ,13          ,1             ,0              ,other
reverse                                            ,apache_commons,public     ,13          ,1             ,0              ,other
reverse                                            ,apache_commons,public     ,13          ,1             ,0              ,other
reverse                                            ,apache_commons,public     ,13          ,1             ,0              ,other
swap                                               ,apache_commons,public     ,4           ,1             ,0              ,other
swap                                               ,apache_commons,public     ,4           ,1             ,0              ,other
swap                                               ,apache_commons,public     ,4           ,1             ,0              ,other
swap                                               ,apache_commons,public     ,4           ,1             ,0              ,other
swap                                               ,apache_commons,public     ,4           ,1             ,0              ,other
swap                                               ,apache_commons,public     ,4           ,1             ,0              ,other
swap                                               ,apache_commons,public     ,4           ,1             ,0              ,other
swap                                               ,apache_commons,public     ,4           ,1             ,0              ,other
swap                                               ,apache_commons,public     ,4           ,1             ,0              ,other
swap                                               ,apache_commons,public     ,15          ,3             ,1              ,other
swap                                               ,apache_commons,public     ,15          ,3             ,1              ,other
swap                                               ,apache_commons,public     ,15          ,3             ,1              ,other
swap                                               ,apache_commons,public     ,15          ,3             ,1              ,other
swap                                               ,apache_commons,public     ,15          ,3             ,1              ,other
swap                                               ,apache_commons,public     ,15          ,3             ,1              ,other
swap                                               ,apache_commons,public     ,15          ,3             ,1              ,other
swap                                               ,apache_commons,public     ,15          ,3             ,1              ,other
swap                                               ,apache_commons,public     ,18          ,4             ,1              ,other
shift                                              ,apache_commons,public     ,4           ,1             ,0              ,other
shift                                              ,apache_commons,public     ,4           ,1             ,0              ,other
shift                                              ,apache_commons,public     ,4           ,1             ,0              ,other
shift                                              ,apache_commons,public     ,4           ,1             ,0              ,other
shift                                              ,apache_commons,public     ,4           ,1             ,0              ,other
shift                                              ,apache_commons,public     ,4           ,1             ,0              ,other
shift                                              ,apache_commons,public     ,4           ,1             ,0              ,other
shift                                              ,apache_commons,public     ,4           ,1             ,0              ,other
shift                                              ,apache_commons,public     ,4           ,1             ,0              ,other
shift                                              ,apache_commons,public     ,35          ,8             ,0              ,other
shift                                              ,apache_commons,public     ,35          ,8             ,0              ,other
shift                                              ,apache_commons,public     ,35          ,8             ,0              ,other
shift                                              ,apache_commons,public     ,35          ,8             ,0              ,other
shift                                              ,apache_commons,public     ,35          ,8             ,0              ,other
shift                                              ,apache_commons,public     ,35          ,8             ,0              ,other
shift                                              ,apache_commons,public     ,35          ,8             ,0              ,other
shift                                              ,apache_commons,public     ,35          ,8             ,0              ,other
shift                                              ,apache_commons,public     ,35          ,8             ,0              ,other
index|of                                           ,apache_commons,public     ,1           ,0             ,0              ,other
index|of                                           ,apache_commons,public     ,20          ,5             ,2              ,other
last|index|of                                      ,apache_commons,public     ,1           ,0             ,0              ,other
last|index|of                                      ,apache_commons,public     ,22          ,7             ,2              ,other
contains                                           ,apache_commons,public     ,1           ,0             ,0              ,other
index|of                                           ,apache_commons,public     ,1           ,0             ,0              ,other
index|of                                           ,apache_commons,public     ,12          ,3             ,1              ,other
last|index|of                                      ,apache_commons,public     ,1           ,0             ,0              ,other
last|index|of                                      ,apache_commons,public     ,14          ,4             ,1              ,other
contains                                           ,apache_commons,public     ,1           ,0             ,0              ,other
index|of                                           ,apache_commons,public     ,1           ,0             ,0              ,other
index|of                                           ,apache_commons,public     ,12          ,3             ,1              ,other
last|index|of                                      ,apache_commons,public     ,1           ,0             ,0              ,other
last|index|of                                      ,apache_commons,public     ,14          ,4             ,1              ,other
contains                                           ,apache_commons,public     ,1           ,0             ,0              ,other
index|of                                           ,apache_commons,public     ,1           ,0             ,0              ,other
index|of                                           ,apache_commons,public     ,12          ,3             ,1              ,other
last|index|of                                      ,apache_commons,public     ,1           ,0             ,0              ,other
last|index|of                                      ,apache_commons,public     ,14          ,4             ,1              ,other
contains                                           ,apache_commons,public     ,1           ,0             ,0              ,other
index|of                                           ,apache_commons,public     ,1           ,0             ,0              ,other
index|of                                           ,apache_commons,public     ,12          ,3             ,1              ,other
last|index|of                                      ,apache_commons,public     ,1           ,0             ,0              ,other
last|index|of                                      ,apache_commons,public     ,14          ,4             ,1              ,other
contains                                           ,apache_commons,public     ,1           ,0             ,0              ,other
index|of                                           ,apache_commons,public     ,1           ,0             ,0              ,other
index|of                                           ,apache_commons,public     ,12          ,3             ,1              ,other
last|index|of                                      ,apache_commons,public     ,1           ,0             ,0              ,other
last|index|of                                      ,apache_commons,public     ,14          ,4             ,1              ,other
contains                                           ,apache_commons,public     ,1           ,0             ,0              ,other
index|of                                           ,apache_commons,public     ,1           ,0             ,0              ,other
index|of                                           ,apache_commons,public     ,1           ,0             ,0              ,other
index|of                                           ,apache_commons,public     ,12          ,3             ,1              ,other
index|of                                           ,apache_commons,public     ,14          ,3             ,1              ,other
last|index|of                                      ,apache_commons,public     ,1           ,0             ,0              ,other
last|index|of                                      ,apache_commons,public     ,1           ,0             ,0              ,other
last|index|of                                      ,apache_commons,public     ,14          ,4             ,1              ,other
last|index|of                                      ,apache_commons,public     ,16          ,4             ,1              ,other
contains                                           ,apache_commons,public     ,1           ,0             ,0              ,other
contains                                           ,apache_commons,public     ,1           ,0             ,0              ,other
index|of                                           ,apache_commons,public     ,1           ,0             ,0              ,other
index|of                                           ,apache_commons,public     ,12          ,3             ,1              ,other
last|index|of                                      ,apache_commons,public     ,1           ,0             ,0              ,other
last|index|of                                      ,apache_commons,public     ,14          ,4             ,1              ,other
contains                                           ,apache_commons,public     ,1           ,0             ,0              ,other
index|of                                           ,apache_commons,public     ,1           ,0             ,0              ,other
index|of                                           ,apache_commons,public     ,12          ,3             ,1              ,other
last|index|of                                      ,apache_commons,public     ,1           ,0             ,0              ,other
last|index|of                                      ,apache_commons,public     ,14          ,4             ,1              ,other
contains                                           ,apache_commons,public     ,1           ,0             ,0              ,other
to|primitive                                       ,apache_commons,public     ,10          ,2             ,1              ,other
to|primitive                                       ,apache_commons,public     ,11          ,2             ,1              ,other
to|object                                          ,apache_commons,public     ,10          ,2             ,1              ,other
to|primitive                                       ,apache_commons,public     ,10          ,2             ,1              ,other
to|primitive                                       ,apache_commons,public     ,11          ,2             ,1              ,other
to|object                                          ,apache_commons,public     ,10          ,2             ,1              ,other
to|primitive                                       ,apache_commons,public     ,10          ,2             ,1              ,other
to|primitive                                       ,apache_commons,public     ,11          ,2             ,1              ,other
to|object                                          ,apache_commons,public     ,10          ,2             ,1              ,other
to|primitive                                       ,apache_commons,public     ,10          ,2             ,1              ,other
to|primitive                                       ,apache_commons,public     ,11          ,2             ,1              ,other
to|object                                          ,apache_commons,public     ,10          ,2             ,1              ,other
to|primitive                                       ,apache_commons,public     ,10          ,2             ,1              ,other
to|primitive                                       ,apache_commons,public     ,11          ,2             ,1              ,other
to|object                                          ,apache_commons,public     ,10          ,2             ,1              ,other
to|primitive                                       ,apache_commons,public     ,10          ,2             ,1              ,other
to|primitive                                       ,apache_commons,public     ,11          ,2             ,1              ,other
to|object                                          ,apache_commons,public     ,10          ,2             ,1              ,other
to|primitive                                       ,apache_commons,public     ,10          ,2             ,1              ,other
to|primitive                                       ,apache_commons,public     ,11          ,2             ,1              ,other
to|object                                          ,apache_commons,public     ,10          ,2             ,1              ,other
to|primitive                                       ,apache_commons,public     ,21          ,6             ,0              ,other
to|primitive                                       ,apache_commons,public     ,10          ,2             ,1              ,other
to|primitive                                       ,apache_commons,public     ,11          ,2             ,1              ,other
to|object                                          ,apache_commons,public     ,10          ,2             ,1              ,other
is|empty                                           ,apache_commons,public     ,1           ,0             ,0              ,other
is|empty                                           ,apache_commons,public     ,1           ,0             ,0              ,other
is|empty                                           ,apache_commons,public     ,1           ,0             ,0              ,other
is|empty                                           ,apache_commons,public     ,1           ,0             ,0              ,other
is|empty                                           ,apache_commons,public     ,1           ,0             ,0              ,other
is|empty                                           ,apache_commons,public     ,1           ,0             ,0              ,other
is|empty                                           ,apache_commons,public     ,1           ,0             ,0              ,other
is|empty                                           ,apache_commons,public     ,1           ,0             ,0              ,other
is|empty                                           ,apache_commons,public     ,1           ,0             ,0              ,other
is|not|empty                                       ,apache_commons,public     ,1           ,0             ,0              ,other
is|not|empty                                       ,apache_commons,public     ,1           ,0             ,0              ,other
is|not|empty                                       ,apache_commons,public     ,1           ,0             ,0              ,other
is|not|empty                                       ,apache_commons,public     ,1           ,0             ,0              ,other
is|not|empty                                       ,apache_commons,public     ,1           ,0             ,0              ,other
is|not|empty                                       ,apache_commons,public     ,1           ,0             ,0              ,other
is|not|empty                                       ,apache_commons,public     ,1           ,0             ,0              ,other
is|not|empty                                       ,apache_commons,public     ,1           ,0             ,0              ,other
is|not|empty                                       ,apache_commons,public     ,1           ,0             ,0              ,other
add|all                                            ,apache_commons,public     ,18          ,3             ,0              ,other
add|all                                            ,apache_commons,public     ,9           ,2             ,0              ,other
add|all                                            ,apache_commons,public     ,9           ,2             ,0              ,other
add|all                                            ,apache_commons,public     ,9           ,2             ,0              ,other
add|all                                            ,apache_commons,public     ,9           ,2             ,0              ,other
add|all                                            ,apache_commons,public     ,9           ,2             ,0              ,other
add|all                                            ,apache_commons,public     ,9           ,2             ,0              ,other
add|all                                            ,apache_commons,public     ,9           ,2             ,0              ,other
add|all                                            ,apache_commons,public     ,9           ,2             ,0              ,other
add                                                ,apache_commons,public     ,11          ,2             ,0              ,other
add|first                                          ,apache_commons,public     ,1           ,0             ,0              ,other
add|first                                          ,apache_commons,public     ,1           ,0             ,0              ,other
add|first                                          ,apache_commons,public     ,1           ,0             ,0              ,other
add|first                                          ,apache_commons,public     ,1           ,0             ,0              ,other
add|first                                          ,apache_commons,public     ,1           ,0             ,0              ,other
add|first                                          ,apache_commons,public     ,1           ,0             ,0              ,other
add|first                                          ,apache_commons,public     ,1           ,0             ,0              ,other
add|first                                          ,apache_commons,public     ,1           ,0             ,0              ,other
add|first                                          ,apache_commons,public     ,1           ,0             ,0              ,other
add                                                ,apache_commons,public     ,3           ,0             ,0              ,other
add                                                ,apache_commons,public     ,3           ,0             ,0              ,other
add                                                ,apache_commons,public     ,3           ,0             ,0              ,other
add                                                ,apache_commons,public     ,3           ,0             ,0              ,other
add                                                ,apache_commons,public     ,3           ,0             ,0              ,other
add                                                ,apache_commons,public     ,3           ,0             ,0              ,other
add                                                ,apache_commons,public     ,3           ,0             ,0              ,other
add                                                ,apache_commons,public     ,3           ,0             ,0              ,other
copy|array|grow                                    ,apache_commons,private    ,7           ,1             ,0              ,other
add                                                ,apache_commons,public     ,10          ,2             ,0              ,other
add                                                ,apache_commons,public     ,1           ,0             ,0              ,other
add                                                ,apache_commons,public     ,1           ,0             ,0              ,other
add                                                ,apache_commons,public     ,1           ,0             ,0              ,other
add                                                ,apache_commons,public     ,1           ,0             ,0              ,other
add                                                ,apache_commons,public     ,1           ,0             ,0              ,other
add                                                ,apache_commons,public     ,1           ,0             ,0              ,other
add                                                ,apache_commons,public     ,1           ,0             ,0              ,other
add                                                ,apache_commons,public     ,1           ,0             ,0              ,other
add                                                ,apache_commons,private    ,19          ,4             ,0              ,other
remove                                             ,apache_commons,public     ,1           ,0             ,0              ,other
remove|element                                     ,apache_commons,public     ,5           ,1             ,0              ,other
remove                                             ,apache_commons,public     ,1           ,0             ,0              ,other
remove|element                                     ,apache_commons,public     ,5           ,1             ,0              ,other
remove                                             ,apache_commons,public     ,1           ,0             ,0              ,other
remove|element                                     ,apache_commons,public     ,5           ,1             ,0              ,other
remove                                             ,apache_commons,public     ,1           ,0             ,0              ,other
remove|element                                     ,apache_commons,public     ,5           ,1             ,0              ,other
remove                                             ,apache_commons,public     ,1           ,0             ,0              ,other
remove|element                                     ,apache_commons,public     ,5           ,1             ,0              ,other
remove                                             ,apache_commons,public     ,1           ,0             ,0              ,other
remove|element                                     ,apache_commons,public     ,5           ,1             ,0              ,other
remove                                             ,apache_commons,public     ,1           ,0             ,0              ,other
remove|element                                     ,apache_commons,public     ,5           ,1             ,0              ,other
remove                                             ,apache_commons,public     ,1           ,0             ,0              ,other
remove|element                                     ,apache_commons,public     ,5           ,1             ,0              ,other
remove                                             ,apache_commons,public     ,1           ,0             ,0              ,other
remove|element                                     ,apache_commons,public     ,5           ,1             ,0              ,other
remove                                             ,apache_commons,private    ,10          ,2             ,0              ,other
remove|all                                         ,apache_commons,public     ,1           ,0             ,0              ,other
remove|elements                                    ,apache_commons,public     ,25          ,4             ,1              ,other
remove|all                                         ,apache_commons,public     ,1           ,0             ,0              ,other
remove|elements                                    ,apache_commons,public     ,25          ,4             ,1              ,other
remove|all                                         ,apache_commons,public     ,1           ,0             ,0              ,other
remove|elements                                    ,apache_commons,public     ,25          ,4             ,1              ,other
remove|all                                         ,apache_commons,public     ,1           ,0             ,0              ,other
remove|elements                                    ,apache_commons,public     ,25          ,4             ,1              ,other
remove|all                                         ,apache_commons,public     ,1           ,0             ,0              ,other
remove|elements                                    ,apache_commons,public     ,25          ,4             ,1              ,other
remove|all                                         ,apache_commons,public     ,1           ,0             ,0              ,other
remove|elements                                    ,apache_commons,public     ,25          ,4             ,1              ,other
remove|all                                         ,apache_commons,public     ,1           ,0             ,0              ,other
remove|elements                                    ,apache_commons,public     ,25          ,4             ,1              ,other
remove|all                                         ,apache_commons,public     ,1           ,0             ,0              ,other
remove|elements                                    ,apache_commons,public     ,25          ,4             ,1              ,other
remove|all                                         ,apache_commons,public     ,1           ,0             ,0              ,other
remove|elements                                    ,apache_commons,public     ,25          ,4             ,1              ,other
remove|all                                         ,apache_commons,null       ,37          ,6             ,1              ,other
remove|all                                         ,apache_commons,null       ,20          ,2             ,0              ,other
is|sorted                                          ,apache_commons,public     ,7           ,0             ,0              ,other
compare                                            ,apache_commons,public     ,1           ,0             ,0              ,other
is|sorted                                          ,apache_commons,public     ,16          ,3             ,1              ,other
is|sorted                                          ,apache_commons,public     ,13          ,2             ,1              ,other
is|sorted                                          ,apache_commons,public     ,13          ,2             ,1              ,other
is|sorted                                          ,apache_commons,public     ,13          ,2             ,1              ,other
is|sorted                                          ,apache_commons,public     ,13          ,2             ,1              ,other
is|sorted                                          ,apache_commons,public     ,13          ,2             ,1              ,other
is|sorted                                          ,apache_commons,public     ,13          ,2             ,1              ,other
is|sorted                                          ,apache_commons,public     ,13          ,2             ,1              ,other
is|sorted                                          ,apache_commons,public     ,13          ,2             ,1              ,other
remove|all|occurences                              ,apache_commons,public     ,11          ,1             ,0              ,other
remove|all|occurences                              ,apache_commons,public     ,11          ,1             ,0              ,other
remove|all|occurences                              ,apache_commons,public     ,11          ,1             ,0              ,other
remove|all|occurences                              ,apache_commons,public     ,11          ,1             ,0              ,other
remove|all|occurences                              ,apache_commons,public     ,11          ,1             ,0              ,other
remove|all|occurences                              ,apache_commons,public     ,11          ,1             ,0              ,other
remove|all|occurences                              ,apache_commons,public     ,11          ,1             ,0              ,other
remove|all|occurences                              ,apache_commons,public     ,11          ,1             ,0              ,other
remove|all|occurences                              ,apache_commons,public     ,11          ,1             ,0              ,other
to|string|array                                    ,apache_commons,public     ,10          ,2             ,1              ,other
to|string|array                                    ,apache_commons,public     ,11          ,2             ,1              ,other
insert                                             ,apache_commons,public     ,18          ,5             ,0              ,other
insert                                             ,apache_commons,public     ,18          ,5             ,0              ,other
insert                                             ,apache_commons,public     ,18          ,5             ,0              ,other
insert                                             ,apache_commons,public     ,18          ,5             ,0              ,other
insert                                             ,apache_commons,public     ,18          ,5             ,0              ,other
insert                                             ,apache_commons,public     ,18          ,5             ,0              ,other
insert                                             ,apache_commons,public     ,18          ,5             ,0              ,other
insert                                             ,apache_commons,public     ,18          ,5             ,0              ,other
insert                                             ,apache_commons,public     ,19          ,5             ,0              ,other
shuffle                                            ,apache_commons,public     ,1           ,0             ,0              ,other
shuffle                                            ,apache_commons,public     ,3           ,0             ,1              ,other
shuffle                                            ,apache_commons,public     ,1           ,0             ,0              ,other
shuffle                                            ,apache_commons,public     ,3           ,0             ,1              ,other
shuffle                                            ,apache_commons,public     ,1           ,0             ,0              ,other
shuffle                                            ,apache_commons,public     ,3           ,0             ,1              ,other
shuffle                                            ,apache_commons,public     ,1           ,0             ,0              ,other
shuffle                                            ,apache_commons,public     ,3           ,0             ,1              ,other
shuffle                                            ,apache_commons,public     ,1           ,0             ,0              ,other
shuffle                                            ,apache_commons,public     ,3           ,0             ,1              ,other
shuffle                                            ,apache_commons,public     ,1           ,0             ,0              ,other
shuffle                                            ,apache_commons,public     ,3           ,0             ,1              ,other
shuffle                                            ,apache_commons,public     ,1           ,0             ,0              ,other
shuffle                                            ,apache_commons,public     ,3           ,0             ,1              ,other
shuffle                                            ,apache_commons,public     ,1           ,0             ,0              ,other
shuffle                                            ,apache_commons,public     ,3           ,0             ,1              ,other
